L20_V002,16350,27
L22_V031,17700,27
L22_V031,17725,27
L22_V031,12925,27
L17_V011,23425,27
L17_V010,2575,27
L22_V031,17725,27
L17_V011,23450,27
L08_V001,15850,27
L15_V031,1600,27
L17_V010,2600,27
L07_V031,29775,27
L20_V002,16325,27
L13_V029,21850,27
L17_V011,23400,27
L15_V006,24275,27
L15_V006,24250,27
L17_V010,1875,27
L17_V010,2450,27
L17_V011,23475,27
L07_V031,4950,27
L09_V011,21175,27
L17_V010,2650,27
L17_V011,23500,27
L17_V010,2800,27
L08_V001,16050,27
L17_V010,2750,27
L07_V031,29825,27
L17_V011,23375,27
L13_V029,21875,27
L08_V001,17450,27
L17_V011,23525,27
L09_V011,21150,27
L17_V010,2625,27
L20_V002,16425,27
L16_V008,35150,27
L09_V011,21125,27
L08_V001,17475,27
L16_V008,35100,27
L17_V010,2400,27
L20_V002,16550,27
L17_V010,2775,27
L15_V006,24300,27
L17_V011,23300,27
L22_V031,17425,27
L09_V011,21275,27
L17_V010,1925,27
L17_V010,2375,27
L08_V001,16150,27
L17_V011,23350,27
L17_V011,23550,27
L20_V002,16600,27
L08_V001,15750,27
L15_V006,24225,27
L13_V029,21900,27
L10_V020,17125,27
L16_V008,35125,27
L22_V031,17450,27
L17_V010,2550,27
L09_V018,27000,27
L15_V021,22900,27
L07_V031,4925,27
L09_V011,21200,27
L17_V010,2425,27
L08_V001,17425,27
L07_V031,29800,27
L17_V010,2500,27
L15_V021,22725,27
L18_V029,10775,27
L16_V008,35575,27
L17_V011,23700,27
L08_V001,17500,27
L17_V011,23325,27
L20_V002,16250,27
L09_V018,27050,27
L10_V012,15025,27
L15_V021,22925,27
L20_V014,11525,27
L06_V007,2975,27
L17_V010,2350,27
L16_V008,35625,27
L08_V001,16025,27
L17_V010,2525,27
L05_V015,26525,27
L13_V029,22550,27
L16_V012,14350,27
L17_V010,2675,27
L10_V012,15750,27
L17_V010,2825,27
L15_V004,25350,27
L17_V011,23675,27
L17_V010,2875,27
L09_V018,27625,27
L17_V011,23600,27
L20_V002,16525,27
L10_V012,15900,27
L15_V021,23075,27
L15_V021,22825,27
L17_V010,2700,27
L15_V004,25325,27
