L02_V027,12600,12
L08_V005,24100,12
L12_V003,23300,12
L04_V022,14100,12
L06_V031,16100,12
L10_V008,17000,12
L10_V004,12400,12
L05_V030,9500,12
L08_V005,24000,12
L06_V006,9800,12
L11_V009,4700,12
L02_V021,20700,12
L12_V004,23500,12
L02_V026,26000,12
L11_V011,10800,12
L12_V003,23100,12
L08_V005,23900,12
L12_V010,21900,12
L02_V023,15800,12
L02_V031,26400,12
L10_V014,25800,12
L07_V020,10400,12
L12_V027,13900,12
L03_V003,15700,12
L06_V004,5700,12
L12_V010,21800,12
L06_V022,17600,12
L07_V018,26600,12
L06_V028,31900,12
L05_V017,16000,12
L01_V024,10200,12
L08_V017,11000,12
L11_V007,8700,12
L11_V007,9600,12
L07_V020,10500,12
L07_V020,10600,12
L02_V005,25900,12
L07_V003,2100,12
L04_V001,18800,12
L08_V018,24700,12
L06_V031,16000,12
L04_V016,4200,12
L03_V014,9400,12
L02_V004,4200,12
L04_V011,26300,12
L06_V010,7400,12
L02_V027,12500,12
L12_V025,1400,12
L08_V030,11800,12
L09_V009,24500,12
L11_V009,3600,12
L08_V013,23600,12
L09_V018,32100,12
L05_V001,20400,12
L03_V007,6600,12
L04_V011,12700,12
L06_V010,27800,12
L05_V015,13800,12
L12_V017,22600,12
L09_V009,24600,12
L08_V017,11100,12
L03_V003,2600,12
L05_V010,14900,12
L03_V022,13100,12
L08_V006,2500,12
L12_V003,23500,12
L01_V021,10800,12
L06_V031,15800,12
L10_V009,14800,12
L02_V023,8800,12
L04_V018,29600,12
L08_V009,14500,12
L06_V002,900,12
L02_V002,9800,12
L12_V003,23400,12
L06_V004,26100,12
L03_V029,16500,12
L02_V026,24400,12
L08_V005,23800,12
L08_V005,24400,12
L08_V005,24500,12
L01_V024,9600,12
L02_V029,26700,12
L08_V013,23500,12
L12_V019,20800,12
L05_V003,12100,12
L02_V028,19500,12
L10_V029,18500,12
L08_V013,20200,12
L03_V003,17500,12
L01_V018,4100,12
L06_V027,15500,12
L09_V015,28800,12
L07_V020,10000,12
L04_V011,26100,12
L03_V024,29000,12
L10_V008,16900,12
L05_V013,9600,12
L02_V026,7500,12
L01_V008,15600,12
