L12_V009,1700,1,,
L04_V019,20200,1,,
L06_V030,9600,1,,
L05_V008,23400,1,,
L08_V030,2700,1,,
L05_V025,6600,1,,
L08_V010,18600,1,,
L09_V025,21700,1,,
L03_V013,17500,1,,
L08_V009,14500,1,,
L01_V030,28100,1,,
L09_V016,27900,1,,
L03_V003,20100,1,,
L05_V015,27000,1,,
L12_V009,1700,1,,
L03_V003,20200,1,,
L06_V021,8700,1,,
L04_V006,14200,1,,
L09_V012,20200,1,,
L09_V009,34100,1,,
L10_V029,19000,1,,
L12_V009,400,1,,
L06_V004,19000,1,,
L08_V009,13100,1,,
L03_V026,17600,1,,
L02_V031,8900,1,,
L12_V016,12200,1,,
L09_V005,20900,1,,
L02_V023,16500,1,,
L10_V017,18400,1,,
L08_V022,19900,1,,
L06_V030,10100,1,,
L04_V006,14400,1,,
L10_V017,9800,1,,
L10_V029,17200,1,,
L05_V014,6300,1,,
L05_V026,5900,1,,
L12_V010,5500,1,,
L01_V019,5300,1,,
L05_V026,22600,1,,
L12_V005,32900,1,,
L12_V016,18700,1,,
L09_V024,24600,1,,
L02_V023,17000,1,,
L01_V030,28000,1,,
L05_V011,24100,1,,
L06_V009,4900,1,,
L08_V022,19800,1,,
L09_V008,1600,1,,
L01_V003,2700,1,,
L10_V025,8600,1,,
L05_V001,1000,1,,
L09_V026,21100,1,,
L01_V003,27900,1,,
L10_V005,21500,1,,
L02_V006,9100,1,,
L02_V018,16200,1,,
L05_V015,26700,1,,
L10_V019,17000,1,,
L07_V015,15400,1,,
L09_V005,24300,1,,
L10_V015,10800,1,,
L12_V011,13300,1,,
L09_V024,24700,1,,
L02_V026,15100,1,,
L08_V030,2800,1,,
L02_V007,11100,1,,
L05_V026,6100,1,,
L10_V014,21200,1,,
L10_V019,17100,1,,
L04_V023,15100,1,,
L06_V030,9300,1,,
L11_V002,22200,1,,
L02_V001,19100,1,,
L01_V030,27600,1,,
L02_V026,15200,1,,
L05_V001,26800,1,,
L10_V015,10700,1,,
L08_V029,11300,1,,
L10_V023,10800,1,,
L11_V025,7300,1,,
L08_V029,25000,1,,
L12_V009,1400,1,,
L12_V020,13900,1,,
L04_V002,18100,1,,
L08_V009,13700,1,,
L10_V018,18600,1,,
L10_V026,19700,1,,
L04_V026,7100,1,,
L03_V003,21300,1,,
L04_V023,13500,1,,
L04_V006,14500,1,,
L09_V025,23000,1,,
L05_V007,3700,1,,
L03_V025,24300,1,,
L03_V009,10200,1,,
L04_V006,13500,1,,
L03_V025,26200,1,,
L05_V023,24200,1,,
L11_V011,20800,1,,
