L02_V027, 12586, 12
L02_V027, 12557, 12
L12_V025, 20720, 12
L11_V030, 16994, 12
L04_V022, 17920, 12
L02_V027, 12556, 12
L04_V022, 17373, 12
L07_V009, 23225, 12
L08_V003, 23606, 12
L11_V030, 17037, 12
L02_V004, 14073, 12
L04_V022, 17795, 12
L09_V028, 21119, 12
L04_V011, 18129, 12
L02_V026, 8744, 12
L07_V009, 23157, 12
L10_V022, 13839, 12
L03_V012, 4049, 12
L10_V012, 26352, 12
L04_V013, 16867, 12
L04_V022, 17796, 12
L08_V030, 9838, 12
L11_V006, 23400, 12
L09_V028, 20658, 12
L01_V003, 21184, 12
L11_V012, 5959, 12
L05_V016, 18666, 12
L06_V019, 4542, 12
L05_V012, 17245, 12
L10_V026, 3974, 12
L11_V006, 23634, 12
L11_V027, 6818, 12
L11_V012, 6001, 12
L08_V003, 20848, 12
L11_V018, 19523, 12
L12_V015, 23349, 12
L09_V028, 18274, 12
L07_V029, 7393, 12
L02_V029, 28347, 12
L01_V007, 9554, 12
L03_V019, 12568, 12
L09_V024, 24211, 12
L08_V003, 23702, 12
L08_V030, 10818, 12
L05_V016, 16061, 12
L02_V006, 8437, 12
L05_V003, 4671, 12
L03_V007, 10592, 12
L04_V006, 1774, 12
L07_V027, 19005, 12
L07_V029, 6879, 12
L01_V028, 17455, 12
L09_V004, 7012, 12
L12_V019, 1689, 12
L08_V028, 4481, 12
L08_V029, 17557, 12
L12_V003, 23268, 12
L02_V029, 13643, 12
L02_V023, 11936, 12
L11_V012, 5918, 12
L09_V001, 9355, 12
L12_V008, 25219, 12
L03_V006, 20009, 12
L07_V028, 22561, 12
L04_V022, 17858, 12
L03_V023, 18072, 12
L08_V005, 10610, 12
L01_V002, 8947, 12
L02_V026, 25685, 12
L09_V024, 10154, 12
L07_V029, 8036, 12
L11_V013, 22287, 12
L08_V003, 28300, 12
L07_V014, 10593, 12
L03_V012, 4521, 12
L04_V007, 9422, 12
L06_V005, 20706, 12
L12_V025, 14795, 12
L10_V012, 10584, 12
L07_V023, 22387, 12
L05_V002, 20395, 12
L10_V019, 5119, 12
L05_V017, 5219, 12
L04_V003, 10078, 12
L01_V004, 12544, 12
L07_V023, 22058, 12
L09_V028, 20970, 12
L02_V004, 14150, 12
L09_V021, 19272, 12
L08_V024, 10842, 12
L07_V023, 13480, 12
L04_V029, 11677, 12
L05_V002, 14635, 12
L01_V003, 20920, 12
L10_V005, 29757, 12
L10_V007, 16191, 12
L12_V018, 16130, 12
L10_V012, 10993, 12
L08_V009, 20217, 12
L04_V026, 23923, 12
