L13_V004,7413
L13_V004,7418
L13_V004,7425
L02_V006,19000
L13_V004,7525
L22_V011,15900
L22_V011,15875
L01_V022,6875
L02_V006,19025
L22_V011,15025
L15_V028,3475
L12_V014,16350
L03_V010,4750
L22_V011,16025
L12_V014,16325
L03_V010,4775
L13_V003,22425
L15_V028,3450
L10_V023,6375
L22_V026,9575
L08_V025,9675
L12_V014,16250
L08_V025,9525
L08_V025,9500
L03_V010,3750
L13_V004,7400
L18_V014,11025
L13_V003,22400
L08_V025,9550
L08_V025,9650
L08_V025,9775
L22_V011,14925
L01_V022,6400
L06_V025,700
L20_V030,20100
L08_V025,9600
L08_V025,9625
L22_V011,15975
L14_V015,7400
L22_V011,15550
L01_V022,6425
L06_V025,9875
L06_V025,9900
L12_V014,16300
L15_V028,3575
L12_V014,16375
L22_V011,14850
L13_V004,7450
L08_V025,9800
L03_V010,3775
L22_V026,9525
L08_V025,9575
L03_V010,4725
L17_V003,5825
L22_V011,15575
L08_V025,9725
L22_V011,14875
L20_V030,20875
L22_V011,15000
L08_V025,9750
L15_V028,3600
L22_V011,14900
L22_V011,16000
L20_V030,20925
L20_V030,20125
L08_V025,9700
L01_V022,6375
L22_V011,15925
L09_V020,9525
L10_V023,6400
L22_V011,14975
L09_V020,9500
L06_V025,8700
L17_V003,6350
L09_V020,9400
L17_V003,6000
L09_V020,9150
L14_V015,7375
L22_V011,15950
L20_V030,20150
L12_V006,19325
L12_V014,16275
L10_V003,6925
L12_V006,19275
L11_V012,20200
L11_V012,21675
L22_V011,16125
L13_V004,7500
L12_V006,19300
L07_V014,5450
L20_V030,20200
L22_V011,15600
L20_V030,20900
L05_V006,7450
L03_V010,4975
L12_V006,18550
L12_V014,16050
L11_V012,21650
L20_V030,20175
L12_V014,16600
