L01_V026,21700
L11_V006,19500
L06_V016,22200
L05_V005,23100
L11_V007,26600
L08_V007,16900
L06_V013,15200
L08_V022,27200
L05_V015,14700
L01_V016,18700
L09_V022,27100
L02_V018,11400
L06_V013,15000
L06_V013,14900
L01_V031,30000
L03_V001,20000
L06_V013,14800
L09_V008,15700
L06_V023,28200
L10_V004,3000
L09_V001,24100
L07_V031,13800
L12_V017,17100
L06_V027,14800
L09_V008,22900
L03_V030,700
L11_V020,2800
L04_V010,28100
L06_V013,14600
L08_V013,3800
L08_V029,5000
L04_V028,9000
L11_V002,19600
L12_V005,14500
L07_V029,2300
L09_V008,23000
L06_V013,15100
L08_V013,3700
L04_V018,14200
L03_V026,8200
L09_V008,15800
L05_V029,10400
L06_V012,10600
L02_V011,3000
L06_V016,22400
L10_V003,21900
L04_V002,5600
L05_V005,23000
L04_V028,4700
L11_V017,22300
L11_V029,12700
L12_V003,4700
L11_V029,12800
L03_V022,14100
L10_V011,2700
L07_V031,18100
L03_V030,5000
L12_V030,7000
L06_V029,3900
L06_V016,22100
L08_V002,900
L04_V002,4900
L06_V012,14300
L09_V020,21600
L03_V027,10200
L03_V024,19200
L05_V002,2700
L12_V021,12900
L08_V021,13600
L06_V013,14500
L01_V011,5000
L01_V026,800
L04_V018,12800
L09_V028,2300
L02_V018,11500
L07_V025,10100
L03_V029,6700
L06_V016,22300
L10_V022,18900
L08_V021,6000
L08_V004,12300
L05_V019,15700
L12_V024,7500
L11_V020,1600
L12_V030,28800
L07_V013,24300
L03_V030,6400
L11_V018,33700
L09_V018,12800
L11_V014,25800
L08_V004,11800
L04_V008,13800
L07_V010,15400
L01_V019,20200
L06_V014,20400
L06_V013,700
L06_V004,26100
L12_V006,10800
L02_V007,21100
L09_V028,20800
