L01_V013,17800
L02_V027,10900
L06_V019,14300
L01_V013,17700
L08_V004,2800
L08_V010,2500
L09_V007,1900
L01_V031,27100
L01_V020,26000
L12_V029,30500
L04_V023,12200
L05_V005,2300
L01_V013,17300
L09_V008,13300
L08_V002,11200
L12_V017,10100
L12_V012,13000
L02_V013,16700
L01_V031,27000
L12_V020,8200
L08_V019,15500
L05_V020,26400
L03_V006,18500
L10_V012,29700
L04_V025,10300
L12_V012,12900
L10_V004,4300
L09_V010,2600
L12_V013,12800
L07_V001,4900
L02_V026,24200
L06_V001,5300
L05_V002,26800
L03_V003,24500
L10_V004,6700
L01_V017,24900
L04_V016,28600
L10_V004,5100
L03_V013,3000
L05_V029,2500
L07_V019,21000
L07_V022,20700
L07_V022,20600
L12_V030,10900
L05_V020,25400
L09_V028,24700
L02_V016,25500
L12_V025,15900
L12_V006,31900
L01_V006,18500
L10_V014,8100
L06_V009,10400
L09_V012,14600
L04_V016,14300
L08_V020,6200
L12_V018,23500
L03_V025,29700
L06_V019,14200
L01_V007,23200
L03_V013,2700
L02_V026,24400
L09_V021,2300
L09_V004,14100
L05_V005,2100
L12_V003,23400
L08_V027,26000
L11_V006,23400
L05_V020,12000
L03_V028,17200
L10_V006,26200
L08_V007,13500
L01_V001,30200
L07_V029,11900
L06_V018,11600
L04_V019,1900
L08_V021,14800
L05_V025,16900
L04_V018,31400
L09_V002,22500
L06_V022,2000
L11_V004,6000
L10_V003,16000
L01_V020,27900
L04_V012,22400
L05_V027,2300
L08_V010,2400
L02_V010,3200
L04_V008,21400
L10_V004,6500
L04_V012,21500
L08_V022,29600
L11_V006,12000
L05_V012,700
L09_V017,17000
L05_V006,10400
L10_V002,18300
L09_V018,1800
L03_V008,13100
L09_V020,21200
L09_V009,16600
